order_id,lat,lon,quantity
1,37.754881350392736,-122.34298032295821,22
2,37.77151893663724,-122.35613984865377,16
3,37.760276337607166,-122.30116261619408,21
4,37.75448831829969,-122.3897955189252,19
5,37.742365479933895,-122.37911232439052,23
6,37.764589411306666,-122.38386904821151,25
7,37.74375872112627,-122.33468916745346,26
8,37.78917730007821,-122.37467083974603,26
9,37.79636627605011,-122.35336892271438,23
10,37.73834415188258,-122.37555744079985,19
11,37.77917250380827,-122.38410304163546,22
12,37.752889491975296,-122.38896248588358,22
13,37.75680445610939,-122.33436704105348,14
14,37.792559663829266,-122.38618170486514,21
15,37.70710360581979,-122.380341763832,21
16,37.708712929970154,-122.3631274829339,22
17,37.702021839744035,-122.31790067701522,27
18,37.7832619845548,-122.3902898724207,19
19,37.777815675094985,-122.31620550925012,24
20,37.787001214824684,-122.39039015921061,15
21,37.797861834223276,-122.30235405349866,14
22,37.779915856421674,-122.35313487983524,24
23,37.7461479362253,-122.30232389118098,19
24,37.77805291762865,-122.3395154480255,23
25,37.711827442586895,-122.32607364206018,23
26,37.763992102132754,-122.39608122077458,20
27,37.71433532874091,-122.37171930374237,16
28,37.794466891704964,-122.3879803438787,24
29,37.75218483217501,-122.37038598024779,18
30,37.74146619399905,-122.38812722810458,23
31,37.726455561210464,-122.36820168206062,15
32,37.777423368943424,-122.35857370054853,21
33,37.74561503322166,-122.39358525036512,28
34,37.756843394886864,-122.33075278806301,20
35,37.70187898004364,-122.34333985457936,23
36,37.76176354970759,-122.37346105090606,19
37,37.76120957227224,-122.34767519465333,23
38,37.76169339968748,-122.39060594892416,16
39,37.79437480785147,-122.3424053504444,11
40,37.76818202991035,-122.30707038024238,17
41,37.73595079005738,-122.36814310475488,18
42,37.743703195379936,-122.33325896200364,22
43,37.76976311959273,-122.38682021375956,20
44,37.70602254716293,-122.32836727958815,22
45,37.766676671544566,-122.37105939070528,17
46,37.76706378696182,-122.38168086379929,21
47,37.721038256107384,-122.341348706519,17
48,37.71289262976549,-122.39798924538125,23
49,37.73154283509242,-122.31710599707827,16
50,37.73637107709426,-122.39953045238074,20
